mot;theme;score_v2;classe;zipf_books;ratio;categories_wikt;has_lexique;has_wikt;raisons
ataraxie;Sentiments & Psyché;0.88;Moyen;1.845;3.5;;oui;non;absent des catégories Wiktionnaire
obsolescence;Temps & Éphémère;0.88;Moyen;1.845;3.5;;oui;non;absent des catégories Wiktionnaire
périgée;Nature & Cosmos;0.88;Moyen;1.845;3.5;;oui;non;absent des catégories Wiktionnaire
anathème;Philosophie & Idées;0.864;Moyen;2.944;0.815;soutenu;oui;oui;oral/familier (ratio=0.81)
apathie;Sentiments & Psyché;0.86;Moyen;3.173;1.637;;oui;non;absent des catégories Wiktionnaire
auguste;Esprit & Caractère;0.86;Moyen;3.276;1.89;;oui;non;absent des catégories Wiktionnaire
fielleux;Esprit & Caractère;0.86;Moyen;2.672;1.516;;oui;non;absent des catégories Wiktionnaire
insatiable;Sentiments & Psyché;0.86;Moyen;3.453;1.642;;oui;non;absent des catégories Wiktionnaire
libidineux;Esprit & Caractère;0.86;Moyen;2.785;1.906;;oui;non;absent des catégories Wiktionnaire
magnanime;Esprit & Caractère;0.86;Moyen;3.19;1.505;;oui;non;absent des catégories Wiktionnaire
maraudeur;Esprit & Caractère;0.86;Moyen;2.944;1.833;;oui;non;absent des catégories Wiktionnaire
maxime;Philosophie & Idées;0.86;Moyen;3.086;1.906;;oui;non;absent des catégories Wiktionnaire
outrecuidant;Esprit & Caractère;0.86;Moyen;2.301;1.818;;oui;non;absent des catégories Wiktionnaire
paria;Esprit & Caractère;0.86;Moyen;3.13;1.646;;oui;non;absent des catégories Wiktionnaire
quiproquo;Art & Langage;0.86;Moyen;2.785;1.649;;oui;non;absent des catégories Wiktionnaire
satirique;Art & Langage;0.86;Moyen;2.613;1.864;;oui;non;absent des catégories Wiktionnaire
sbire;Esprit & Caractère;0.86;Moyen;3.19;1.685;;oui;non;absent des catégories Wiktionnaire
talisman;Art & Langage;0.86;Moyen;3.422;1.913;;oui;non;absent des catégories Wiktionnaire
verbeux;Art & Langage;0.86;Moyen;2.431;1.588;;oui;non;absent des catégories Wiktionnaire
abnégation;Sentiments & Psyché;0.85;Moyen;3.554;3.934;;oui;non;absent des catégories Wiktionnaire
auréole;Nature & Cosmos;0.85;Moyen;3.662;4.413;;oui;non;absent des catégories Wiktionnaire
fugace;Temps & Éphémère;0.85;Moyen;3.502;4.676;;oui;non;absent des catégories Wiktionnaire
ignominie;Esprit & Caractère;0.85;Moyen;3.502;4.184;;oui;non;absent des catégories Wiktionnaire
insolence;Esprit & Caractère;0.85;Moyen;3.943;3.264;;oui;non;absent des catégories Wiktionnaire
limpide;Nature & Cosmos;0.85;Moyen;3.994;4.25;;oui;non;absent des catégories Wiktionnaire
millénaire;Temps & Éphémère;0.85;Moyen;3.668;3.426;;oui;non;absent des catégories Wiktionnaire
nostalgique;Sentiments & Psyché;0.85;Moyen;3.577;3.405;;oui;non;absent des catégories Wiktionnaire
pittoresque;Nature & Cosmos;0.85;Moyen;3.656;3.082;;oui;non;absent des catégories Wiktionnaire
ténébreux;Lumière & Ombres;0.85;Moyen;3.668;4.198;;oui;non;absent des catégories Wiktionnaire
éphémère;Temps & Éphémère;0.85;Moyen;3.759;4.316;;oui;non;absent des catégories Wiktionnaire
heur;Sentiments & Psyché;0.826;Moyen;2.672;10.0;littéraire;oui;oui;
chimère;Philosophie & Idées;0.81;Moyen;3.52;2.736;;oui;non;absent des catégories Wiktionnaire
constellation;Nature & Cosmos;0.81;Moyen;3.554;2.224;;oui;non;absent des catégories Wiktionnaire
méticuleux;Esprit & Caractère;0.81;Moyen;3.615;2.302;;oui;non;absent des catégories Wiktionnaire
poétique;Art & Langage;0.81;Moyen;3.789;2.628;;oui;non;absent des catégories Wiktionnaire
pétale;Nature & Cosmos;0.81;Moyen;3.834;2.952;;oui;non;absent des catégories Wiktionnaire
apogée;Temps & Éphémère;0.8;Moyen;3.246;1.257;;oui;non;absent des catégories Wiktionnaire
dryade;Nature & Cosmos;0.8;Moyen;2.301;1.25;;oui;non;absent des catégories Wiktionnaire
félicité;Sentiments & Psyché;0.8;Moyen;3.473;1.414;;oui;non;absent des catégories Wiktionnaire
impudence;Esprit & Caractère;0.8;Moyen;3.107;1.008;;oui;non;absent des catégories Wiktionnaire
lascif;Sentiments & Psyché;0.8;Moyen;2.978;1.187;;oui;non;absent des catégories Wiktionnaire
moujik;Esprit & Caractère;0.8;Moyen;2.785;1.22;;oui;non;absent des catégories Wiktionnaire
métrique;Art & Langage;0.8;Moyen;2.431;1.125;;oui;non;absent des catégories Wiktionnaire
neurasthénique;Sentiments & Psyché;0.8;Moyen;2.908;1.157;;oui;non;absent des catégories Wiktionnaire
palefrenier;Esprit & Caractère;0.8;Moyen;2.833;1.062;;oui;non;absent des catégories Wiktionnaire
paradigme;Philosophie & Idées;0.8;Moyen;2.146;1.077;;oui;non;absent des catégories Wiktionnaire
présage;Philosophie & Idées;0.8;Moyen;3.442;1.421;;oui;non;absent des catégories Wiktionnaire
renégat;Esprit & Caractère;0.8;Moyen;3.061;1.292;;oui;non;absent des catégories Wiktionnaire
séquestration;Sentiments & Psyché;0.8;Moyen;2.531;1.133;;oui;non;absent des catégories Wiktionnaire
venimeux;Sentiments & Psyché;0.8;Moyen;3.228;1.07;;oui;non;absent des catégories Wiktionnaire
zodiaque;Nature & Cosmos;0.8;Moyen;2.833;1.283;;oui;non;absent des catégories Wiktionnaire
exaltation;Sentiments & Psyché;0.79;Moyen;4.176;15.306;;oui;non;absent des catégories Wiktionnaire
pénombre;Lumière & Ombres;0.79;Moyen;4.448;22.984;;oui;non;absent des catégories Wiktionnaire
stupeur;Sentiments & Psyché;0.79;Moyen;4.381;15.318;;oui;non;absent des catégories Wiktionnaire
torpeur;Sentiments & Psyché;0.79;Moyen;4.122;16.974;;oui;non;absent des catégories Wiktionnaire
tumulte;Nature & Cosmos;0.79;Moyen;4.082;11.299;;oui;non;absent des catégories Wiktionnaire
allégresse;Sentiments & Psyché;0.77;Faible;4.073;5.008;;oui;non;absent des catégories Wiktionnaire
brume;Nature & Cosmos;0.77;Faible;4.555;8.604;;oui;non;très commun (Zipf=4.6)|absent des catégories Wiktionnaire
ferveur;Sentiments & Psyché;0.77;Faible;4.026;6.278;;oui;non;absent des catégories Wiktionnaire
mélancolie;Sentiments & Psyché;0.77;Faible;4.316;7.954;;oui;non;absent des catégories Wiktionnaire
sillage;Nature & Cosmos;0.77;Faible;4.003;7.929;;oui;non;absent des catégories Wiktionnaire
somnambule;Art & Langage;0.77;Faible;3.607;1.738;;oui;non;absent des catégories Wiktionnaire
azur;Nature & Cosmos;0.7319;Faible;3.973;3.151;littéraire+poétique;oui;oui;
crépuscule;Lumière & Ombres;0.73;Faible;4.396;3.492;;oui;non;absent des catégories Wiktionnaire
extase;Sentiments & Psyché;0.73;Faible;4.023;3.073;;oui;non;absent des catégories Wiktionnaire
nostalgie;Sentiments & Psyché;0.73;Faible;4.256;4.063;;oui;non;absent des catégories Wiktionnaire
volupté;Sentiments & Psyché;0.73;Faible;4.009;3.119;;oui;non;absent des catégories Wiktionnaire
bannissement;Sentiments & Psyché;0.72;Faible;2.531;0.576;;oui;non;oral/familier (ratio=0.58)|absent des catégories Wiktionnaire
brigand;Esprit & Caractère;0.72;Faible;3.373;0.776;;oui;non;oral/familier (ratio=0.78)|absent des catégories Wiktionnaire
clémence;Esprit & Caractère;0.72;Faible;3.386;0.706;;oui;non;oral/familier (ratio=0.71)|absent des catégories Wiktionnaire
dilettante;Art & Langage;0.72;Faible;2.833;0.8;;oui;non;oral/familier (ratio=0.80)|absent des catégories Wiktionnaire
déliquescence;Temps & Éphémère;0.72;Faible;2.146;0.875;;oui;non;oral/familier (ratio=0.88)|absent des catégories Wiktionnaire
enlumineur;Art & Langage;0.72;Faible;2.301;0.741;;oui;non;oral/familier (ratio=0.74)|absent des catégories Wiktionnaire
intègre;Esprit & Caractère;0.72;Faible;2.908;0.54;;oui;non;oral/familier (ratio=0.54)|absent des catégories Wiktionnaire
irrévérence;Esprit & Caractère;0.72;Faible;2.301;0.667;;oui;non;oral/familier (ratio=0.67)|absent des catégories Wiktionnaire
licencieux;Esprit & Caractère;0.72;Faible;2.531;0.829;;oui;non;oral/familier (ratio=0.83)|absent des catégories Wiktionnaire
panégyrique;Art & Langage;0.72;Faible;2.301;0.909;;oui;non;oral/familier (ratio=0.91)|absent des catégories Wiktionnaire
parjure;Esprit & Caractère;0.72;Faible;2.833;0.586;;oui;non;oral/familier (ratio=0.59)|absent des catégories Wiktionnaire
pointilleux;Esprit & Caractère;0.72;Faible;2.944;0.957;;oui;non;oral/familier (ratio=0.96)|absent des catégories Wiktionnaire
scélérat;Esprit & Caractère;0.72;Faible;2.672;0.712;;oui;non;oral/familier (ratio=0.71)|absent des catégories Wiktionnaire
élixir;Art & Langage;0.72;Faible;3.107;0.842;;oui;non;oral/familier (ratio=0.84)|absent des catégories Wiktionnaire
céleste;Nature & Cosmos;0.71;Faible;3.764;1.312;;oui;non;absent des catégories Wiktionnaire
labyrinthe;Nature & Cosmos;0.71;Faible;3.847;1.435;;oui;non;absent des catégories Wiktionnaire
sérénité;Sentiments & Psyché;0.69;Faible;4.111;2.741;;oui;non;commun + peu littéraire (Zipf=4.1, ratio=2.7)|absent des catégories Wiktionnaire
solitaire;Sentiments & Psyché;0.65;Faible;4.32;1.891;;oui;non;commun + peu littéraire (Zipf=4.3, ratio=1.9)|absent des catégories Wiktionnaire
anémie;Sentiments & Psyché;0.64;Faible;2.613;0.313;;oui;non;oral/familier (ratio=0.31)|absent des catégories Wiktionnaire
codex;Art & Langage;0.64;Faible;2.146;0.226;;oui;non;oral/familier (ratio=0.23)|absent des catégories Wiktionnaire
cénacle;Art & Langage;0.64;Faible;2.146;0.341;;oui;non;oral/familier (ratio=0.34)|absent des catégories Wiktionnaire
gredin;Esprit & Caractère;0.64;Faible;2.531;0.272;;oui;non;oral/familier (ratio=0.27)|absent des catégories Wiktionnaire
mentor;Esprit & Caractère;0.64;Faible;2.785;0.377;;oui;non;oral/familier (ratio=0.38)|absent des catégories Wiktionnaire
probe;Esprit & Caractère;0.64;Faible;2.146;0.389;;oui;non;oral/familier (ratio=0.39)|absent des catégories Wiktionnaire
soporifique;Art & Langage;0.64;Faible;2.301;0.339;;oui;non;oral/familier (ratio=0.34)|absent des catégories Wiktionnaire
jadis;Temps & Éphémère;0.6325;Faible;4.719;4.528;poétique;oui;oui;très commun (Zipf=4.7)
aède;Art & Langage;0.63;Faible;2.301;2.0;;oui;non;absent des catégories Wiktionnaire
miséricorde;Sentiments & Psyché;0.63;Faible;3.705;0.578;;oui;non;oral/familier (ratio=0.58)|absent des catégories Wiktionnaire
obsolète;Temps & Éphémère;0.58;Faible;1.845;0.083;;oui;non;oral/familier (ratio=0.08)|absent des catégories Wiktionnaire
spleenétique;Sentiments & Psyché;0.472;Faible;0.0;1.0;littéraire;non;oui;absent de Lexique383
chagrin;Sentiments & Psyché;0.47;Faible;4.588;1.899;;oui;non;très commun (Zipf=4.6)|absent des catégories Wiktionnaire
cryptique;Philosophie & Idées;0.264;Faible;0.0;0.0;soutenu;oui;oui;oral/familier (ratio=0.00)
solipsisme;Philosophie & Idées;0.2596;Faible;0.0;0.0;littéraire;oui;oui;oral/familier (ratio=0.00)
synesthésie;Philosophie & Idées;0.2596;Faible;0.0;0.0;littéraire;oui;oui;oral/familier (ratio=0.00)
allitération;Art & Langage;0.22;Faible;0.0;0.0;;oui;non;oral/familier (ratio=0.00)|absent des catégories Wiktionnaire
heuristique;Philosophie & Idées;0.22;Faible;0.0;0.0;;oui;non;oral/familier (ratio=0.00)|absent des catégories Wiktionnaire
liminaire;Art & Langage;0.22;Faible;0.0;0.0;;oui;non;oral/familier (ratio=0.00)|absent des catégories Wiktionnaire
loquacité;Art & Langage;0.22;Faible;0.0;0.0;;oui;non;oral/familier (ratio=0.00)|absent des catégories Wiktionnaire
paresthésie;Sentiments & Psyché;0.22;Faible;0.0;0.0;;oui;non;oral/familier (ratio=0.00)|absent des catégories Wiktionnaire
procrastination;Esprit & Caractère;0.22;Faible;0.0;0.0;;oui;non;oral/familier (ratio=0.00)|absent des catégories Wiktionnaire
résilience;Sentiments & Psyché;0.22;Faible;0.0;0.0;;oui;non;oral/familier (ratio=0.00)|absent des catégories Wiktionnaire
satyrique;Art & Langage;0.22;Faible;0.0;0.0;;oui;non;oral/familier (ratio=0.00)|absent des catégories Wiktionnaire
sépale;Nature & Cosmos;0.22;Faible;0.0;0.0;;oui;non;oral/familier (ratio=0.00)|absent des catégories Wiktionnaire
téléologique;Philosophie & Idées;0.22;Faible;0.0;0.0;;oui;non;oral/familier (ratio=0.00)|absent des catégories Wiktionnaire
aphoristique;Art & Langage;0.16;Faible;0.0;1.0;;non;non;absent de Lexique383|absent des catégories Wiktionnaire
cénesthésie;Sentiments & Psyché;0.16;Faible;0.0;1.0;;non;non;absent de Lexique383|absent des catégories Wiktionnaire
fielueux;Sentiments & Psyché;0.16;Faible;0.0;1.0;;non;non;absent de Lexique383|absent des catégories Wiktionnaire
garrulité;Art & Langage;0.16;Faible;0.0;1.0;;non;non;absent de Lexique383|absent des catégories Wiktionnaire
gnomique;Art & Langage;0.16;Faible;0.0;1.0;;non;non;absent de Lexique383|absent des catégories Wiktionnaire
mignonne;Art & Langage;0.16;Faible;0.0;1.0;;non;non;absent de Lexique383|absent des catégories Wiktionnaire
noévie;Sentiments & Psyché;0.16;Faible;0.0;1.0;;non;non;absent de Lexique383|absent des catégories Wiktionnaire
némésis;Philosophie & Idées;0.16;Faible;0.0;1.0;;non;non;absent de Lexique383|absent des catégories Wiktionnaire
parapathique;Sentiments & Psyché;0.16;Faible;0.0;1.0;;non;non;absent de Lexique383|absent des catégories Wiktionnaire
purpurine;Lumière & Ombres;0.16;Faible;0.0;1.0;;non;non;absent de Lexique383|absent des catégories Wiktionnaire
pétrichor;Nature & Cosmos;0.16;Faible;0.0;1.0;;non;non;absent de Lexique383|absent des catégories Wiktionnaire
rhapsode;Art & Langage;0.16;Faible;0.0;1.0;;non;non;absent de Lexique383|absent des catégories Wiktionnaire
scholastique;Philosophie & Idées;0.16;Faible;0.0;1.0;;non;non;absent de Lexique383|absent des catégories Wiktionnaire
somatisation;Sentiments & Psyché;0.16;Faible;0.0;1.0;;non;non;absent de Lexique383|absent des catégories Wiktionnaire
sérendipité;Philosophie & Idées;0.16;Faible;0.0;1.0;;non;non;absent de Lexique383|absent des catégories Wiktionnaire
varicose;Sentiments & Psyché;0.16;Faible;0.0;1.0;;non;non;absent de Lexique383|absent des catégories Wiktionnaire
viateur;Esprit & Caractère;0.16;Faible;0.0;1.0;;non;non;absent de Lexique383|absent des catégories Wiktionnaire
érémitique;Esprit & Caractère;0.16;Faible;0.0;1.0;;non;non;absent de Lexique383|absent des catégories Wiktionnaire
cors;Sentiments & Psyché;0.112;Faible;0.0;1.0;;non;non;absent de Lexique383|absent des catégories Wiktionnaire
vate;Art & Langage;0.112;Faible;0.0;1.0;;non;non;absent de Lexique383|absent des catégories Wiktionnaire
