mot;pertinence;complexite;theme;définition;etymologie;exemple;synonymes
taciturne;4;Débutant;Esprit & Caractère;"Qui aime par nature garder le silence ; d'un tempérament secret et secret.";"Du latin ""taciturnus"" (silencieux).";Depuis le départ de son ami, le jeune homme était devenu taciturne.;silencieux, réservé, sombre, renfermé
aurore;4;Débutant;Lumière & Ombres;La première lueur rose et dorée qui précède immédiatement le lever du soleil.;"Du latin ""aurora"" (aurore).";Se lever dès l'aurore permet d'admirer la nature encore endormie.;aube, matin, orient, point du jour
clair-obscur;4;Débutant;Lumière & Ombres;Effet de contraste marqué entre la lumière et l'ombre dans un tableau ou un paysage.;"Traduction de l'italien ""chiaroscuro"".";Le clair-obscur de la forêt sous le soleil couchant était magique.;pénombre, contraste, demi-jour
irisé;4;Débutant;Lumière & Ombres;Qui brille en présentant les nuances de couleur de l'arc-en-ciel.;D'Iris, divinité grecque messagère aux ailes d'arc-en-ciel.;Les bulles de savon flottaient dans l'air sous un éclat irisé.;multicolore, chatoyant, nacré
nimbe;4;Débutant;Lumière & Ombres;Auréole de lumière douce entourant la tête des représentations sacrées ou de personnages divins.;"Du latin ""nimbus"" (nuage de pluie, auréole).";La sainte était peinte avec un nimbe d'or brillant sur son visage.;auréole, gloire, halo
pénombre;4;Débutant;Lumière & Ombres;Demi-jour ou obscurité partielle propice à l'apaisement ou au secret.;"Du latin ""paene"" (presque) et ""umbra"" (ombre).";La pénombre du confessionnal gardait les secrets des pénitents.;demi-jour, obscurité, ombre, clair-obscur
ténébreux;4;Débutant;Lumière & Ombres;"Plongé dans l'obscurité ; au figuré, mystérieux, mélancolique et secret.";"Du latin ""tenebrosus"" (sombre, obscur).";Il avait l'allure d'un héros romantique, sombre et ténébreux.;sombre, obscur, mystérieux, occulte
azur;4;Débutant;Nature & Cosmos;Le bleu magnifique et intense d'un ciel sans nuages.;"De l'arabe ""lāzaward"" (lapins-lazuli).";Les mouettes se découpaient sur l'azur éclatant du ciel d'été.;bleu, ciel, firmament
bocage;4;Débutant;Nature & Cosmos;Espace rural où les champs et les prés sont délimités par des haies vives ou des alignements d'arbres.;"De l'ancien français ""bosc"" (bois).";Le bocage normand offre des paysages verdoyants et fleuris très reposants.;bosquet, bois, campagne
constellation;4;Débutant;Nature & Cosmos;Groupe d'étoiles voisines formant une figure géométrique ou symbolique dans le ciel.;"Du latin ""constellatio"" (réunion d'étoiles).";La Grande Ourse est la constellation la plus facile à repérer.;groupe, nuée, galaxie
céleste;4;Débutant;Nature & Cosmos;Qui appartient au ciel ou présente une beauté pure et divine.;"Du latin ""caelestis"" (céleste).";Une musique céleste s'éleva soudain, apaisant les esprits.;divin, pur, éthéré, astral
labyrinthe;4;Débutant;Nature & Cosmos;Lieu composé de chemins entremêlés d'où il est presque impossible de sortir.;"Du grec ""laburinthos"" (le palais de la double hache, en Crète).";Les ruelles de la vieille médina forment un véritable labyrinthe.;dédale, réseau, méandre
limpide;4;Débutant;Nature & Cosmos;Parfaitement clair, transparent et sans impuretés.;"Du latin ""limpidus"" (clair).";L'eau limpide de la source de montagne permettait de voir chaque galet.;clair, transparent, cristallin, pur
nymphe;4;Débutant;Nature & Cosmos;Divinité féminine de la mythologie grecque présidant aux forêts, aux sources et aux fleuves.;"Du grec ""numphê"" (jeune fille, divinité de l'eau).";On croyait entendre le chant des nymphes dans le murmure de la cascade.;ondine, divinité, dryade
nébuleux;4;Débutant;Nature & Cosmos;"Flou, enveloppé de brume ou de nuages ; au figuré, particulièrement obscur ou confus.";"Du latin ""nebulosus"" (couvert de nuages).";Ses explications nébuleuses n'ont fait qu'ajouter à la confusion.;confus, obscur, flou, brumeux
ondée;4;Débutant;Nature & Cosmos;Averse soudaine, violente et de courte durée.;"Du vieux français ""onde"" (vague, eau courante).";Une ondée passagère nous força à nous abriter sous le grand chêne.;averse, giboulée, pluie
oscillation;4;Débutant;Nature & Cosmos;Mouvement régulier de va-et-vient autour d'un point d'équilibre (ex: balancier).;"Du latin ""oscillatio"" (mouvement de balançoire).";L'oscillation du pendule mesurait le passage régulier des secondes.;fluctuation, vibration, balancement
parvis;4;Débutant;Nature & Cosmos;Place dégagée située devant la façade principale d'une église ou d'un grand monument.;"Du latin ""paradisus"" (paradis, désignant le jardin devant la basilique).";La foule se pressait sur le parvis de la cathédrale pour apercevoir la mariée.;place, esplanade, porche
pittoresque;4;Débutant;Nature & Cosmos;Qui frappe l'esprit ou les yeux par son aspect original, coloré et digne d'être peint.;"De l'italien ""pittoresco"" (propre aux peintres).";Les maisons suspendues de ce village médiéval forment un tableau pittoresque.;original, coloré, charmant, rustique
solstice;4;Débutant;Nature & Cosmos;Époque de l'année où le soleil atteint son éloignement maximal de l'équateur (jours les plus longs/courts).;"Du latin ""solstitium"" (arrêt du soleil).";Le solstice d'été donne lieu à de joyeux feux de joie dans nos campagnes.;époque astronomique
tumulte;4;Débutant;Nature & Cosmos;Agitation bruyante, désordonnée et confuse d'une foule en révolte ou en fête.;"Du latin ""tumultus"" (bruit tumultueux, désordre).";Il préférait la solitude de sa cellule au tumulte du monde extérieur.;agitation, tintamarre, fracas, tempête
zénith;4;Débutant;Nature & Cosmos;"Le point de la sphère céleste situé directement au-dessus de l'observateur ; au figuré, apogée de la réussite.";"De l'arabe ""samt"" (chemin au-dessus de la tête).";Le soleil brillait à son zénith dans un ciel pur.;apogée, sommet, faîte
conjecture;4;Débutant;Philosophie & Idées;Opinion fondée sur des hypothèses ou des apparences, en l'absence de preuves.;"Du latin ""coniectura"" (jet d'idées ensemble, conclusion).";Faute d'indices clairs, l'enquête policière en reste aux conjectures.;hypothèse, supposition, présomption, théorie
paradigme;4;Débutant;Philosophie & Idées;Modèle théorique dominant de pensée ou de représentation du monde au sein d'une époque.;"Du grec ""paradeigma"" (modèle, exemple).";La découverte de la relativité a provoqué un changement de paradigme en physique.;modèle, référence, cadre de pensée
présage;4;Débutant;Philosophie & Idées;Signe augurant de l'avenir ou pressentiment mystérieux.;"Du latin ""praesagium"" (présentiment).";Le passage d'un corbeau noir au-dessus du convoi fut interprété comme un mauvais présage.;augure, signe, présage, indice
stigmate;4;Débutant;Philosophie & Idées;Marque indélébile laissée par une blessure, un événement tragique ou une flétrissure morale.;"Du grec ""stigma"" (marque au fer rouge, piqûre).";La ville conserve encore les stigmates des bombardements de la guerre.;marque, cicatrice, trace, flétrissure
stoïque;4;Débutant;Philosophie & Idées;Qui fait preuve d'une fermeté d'âme inébranlable et d'impassibilité face à la douleur.;"Du grec ""stoa"" (le portique sous lequel enseignait Zénon à Athènes).";Il est resté stoïque malgré les épreuves successives.;impassible, ferme, courageux, flegmatique
transcendance;4;Débutant;Philosophie & Idées;Qualité de ce qui s'élève au-dessus et au-delà du monde sensible et de l'expérience commune.;"Du latin ""transcendere"" (franchir, dépasser).";La transcendance de l'esprit par rapport à la matière est le cœur de sa philosophie.;supériorité, élévation, divinité
énigmatique;4;Débutant;Philosophie & Idées;Dont la nature ou le comportement est obscur et mystérieux, difficile à élucider.;"Du grec ""ainigma"" (parole obscure, énigme).";Le sourire énigmatique de la Joconde continue de fasciner le monde.;mystérieux, obscur, impénétrable, mystique
épicurien;4;Débutant;Philosophie & Idées;Personne qui sait goûter les plaisirs simples et sensuels de l'existence avec équilibre.;D'Épicure, philosophe grec prônant la recherche des plaisirs modérés.;En bon épicurien, il savourait chaque gorgée de ce vin de pays.;bon vivant, hédoniste, jouisseur
concorde;4;Débutant;Sentiments & Psyché;Union des cœurs et des esprits créant une paix durable au sein d'un groupe ou d'une nation.;"Du latin ""concordia"" (union des cœurs).";Le traité de paix permit de ramener enfin la concorde dans le royaume.;paix, harmonie, entente, union
désabusé;4;Débutant;Sentiments & Psyché;Qui a perdu ses illusions sur les gens ou sur la vie, manifestant une douce amertume.;"Dérivé de ""abuser"" avec préfixe négatif (désabusé).";Il portait un regard désabusé sur les affaires humaines.;désillusionné, sceptique, blasé, désenchanté
effervescence;4;Débutant;Sentiments & Psyché;Agitation vive, enthousiaste et créatrice au sein d'un groupe ou d'un esprit.;"Du latin ""effervescere"" (entrer en ébullition).";La ville était en pleine effervescence à l'approche de la fête nationale.;agitation, bouillonnement, excitation, entrain
exaltation;4;Débutant;Sentiments & Psyché;Enthousiasme ou excitation morale portés à un degré extrême de ferveur.;"Du latin ""exaltatio"" (élévation).";Il lut la lettre avec une exaltation qui faisait briller ses yeux.;ferveur, enthousiasme, lyrisme, ivresse
extase;4;Débutant;Sentiments & Psyché;État d'admiration, de bonheur parfait et de ravissement qui coupe du monde extérieur.;"Du grec ""ekstasis"" (action de sortir de soi-même).";Le concert de violoncelle plongea le public dans une extase mystique.;ravissement, enchantement, béatitude, transport
ferveur;4;Débutant;Sentiments & Psyché;Ardeur sentimentale vive poussant à la dévotion religieuse ou intellectuelle.;"Du latin ""fervor"" (chaleur bouillante).";Il défendait ses convictions avec une ferveur admirable.;ardeur, dévotion, zèle, passion
insatiable;4;Débutant;Sentiments & Psyché;Qui ne peut être rassasié ou satisfait, d'un appétit ou désir sans limites.;"Du latin ""insatiabilis"" (qu'on ne peut rassasier).";Son esprit curieux manifestait une soif insatiable de lecture.;vorace, avide, inassouvi
insouciance;4;Débutant;Sentiments & Psyché;Absence totale de préoccupations, d'inquiétude ou de sérieux face aux devoirs.;"Dérivé de ""souci"" avec préfixe négatif (in-souciance).";L'enfance est souvent l'âge d'or d'une douce insouciance.;légèreté, détachement, calme
jubilation;4;Débutant;Sentiments & Psyché;Joie vive, intense et débordante qui se manifeste bruyamment.;"Du latin ""iubilatio"" (cri de joie sauvage).";Les supporters ont laissé éclater leur jubilation au coup de sifflet final.;allégresse, joie, liesse, triomphe
morose;4;Débutant;Sentiments & Psyché;Qui est d'une tristesse grogneuse, sombre et maussade.;"Du latin ""morosus"" (capricieux, d'humeur difficile).";Le temps pluvieux rendait l'atmosphère particulièrement morose.;maussade, sombre, triste, chagrin
perplexité;4;Débutant;Sentiments & Psyché;État d'embarras ou d'indécision face à une situation complexe ou confuse.;"Du latin ""perplexitas"" (enchevêtrement, confusion).";Le détective gratta son front avec une évidente perplexité face à cette impasse.;indécision, doute, hésitation, scepticisme
résilience;4;Débutant;Sentiments & Psyché;Capacité psychologique à surmonter les traumatismes de la vie et à se reconstruire sainement.;"Du latin ""resilire"" (rebondir, reculer).";La résilience des survivants de la catastrophe forçait l'admiration.;ténacité, force d'âme, résistance
stupeur;4;Débutant;Sentiments & Psyché;Étonnement si soudain et profond qu'il fige et paralyse momentanément les facultés.;"Du latin ""stupor"" (engourdissement).";Une stupeur générale s'empara de l'assemblée lors de cette annonce surprise.;stupéfaction, saisissement, étonnement, sidération
célérité;4;Débutant;Temps & Éphémère;Grande rapidité d'exécution, diligence et empressement.;"Du latin ""celeritas"" (rapidité).";Le service de secours a agi avec une célérité remarquable.;rapidité, vitesse, diligence, hâte
imminent;4;Débutant;Temps & Éphémère;Qui est sur le point de se produire de façon inévitable à très court terme.;"Du latin ""imminere"" (menacer, être suspendu au-dessus).";Les nuages noirs annonçaient un orage imminent.;proche, menaçant, immédiat
immuable;4;Débutant;Temps & Éphémère;Qui ne subit aucun changement, reste éternellement identique.;"Du latin ""immutabilis"" (inchangeable).";Le cycle des saisons est une loi immuable de la Terre.;éternel, permanent, constant, durable
intemporel;4;Débutant;Temps & Éphémère;"Qui échappe aux lois et aux fluctuations du temps ; éternel.";"Du latin ""tempus"" (temps) avec préfixe négatif (in-temporel).";Les chefs-d'œuvre de la peinture ont un charme intemporel.;éternel, immortel, atemporel
jadis;4;Débutant;Temps & Éphémère;Dans un temps ancien, autrefois.;"De la contraction de ""ja"" (déjà) et ""dis"" (jours).";Jadis, de grands navires de bois jetaient l'ancre dans ce havre tranquille.;autrefois, anciennement, autrefois
obsolescence;4;Débutant;Temps & Éphémère;Fait de tomber en désuétude ou d'être dépassé technologiquement par le temps.;"Du latin ""obsolescere"" (commencer à s'user, à vieillir).";L'obsolescence programmée pousse à changer d'appareil trop régulièrement.;désuétude, vieillissement, usure
précurseur;4;Débutant;Temps & Éphémère;Qui annonce, prépare ou esquisse un mouvement, une idée ou un art futur.;"Du latin ""praecursor"" (celui qui court devant).";Jules Verne fut un précurseur génial de la science-fiction moderne.;pionnier, initiateur, annonciateur, héraut
périssable;4;Débutant;Temps & Éphémère;Qui est sujet à la mort, à la dégradation ou à la ruine temporelle.;"Du latin ""perire"" (périr).";Toutes les richesses du monde sont périssables face à l'éternité.;mortel, éphémère, fragile
transitoire;4;Débutant;Temps & Éphémère;Qui ne sert que de transition, temporaire et passager.;"Du latin ""transitorius"" (propre au passage).";Il s'agit d'une mesure transitoire avant l'application de la nouvelle loi.;temporaire, provisoire, passager, éphémère
calice;4;Intermédiaire;Art & Langage;"Coupe sacrée utilisée lors de la messe ; au figuré, épreuve douloureuse (ex: boire le calice jusqu'à la lie).";"Du grec ""kalux"" (enveloppe de fleur, coupe).";Il dut boire le calice du rejet jusqu'à la lie sans se plaindre.;coupe, ciboire, épreuve, douleur
codex;4;Intermédiaire;Art & Langage;Livre manuscrit de l'Antiquité ou du Moyen Âge formé de feuillets reliés ensemble.;"Du latin ""codex"" (tronc d'arbre, tablette de bois pour écrire).";Les archéologues ont découvert un codex maya de valeur inestimable.;manuscrit, grimoire, livre
cénacle;4;Intermédiaire;Art & Langage;Cercle restreint d'écrivains, d'artistes ou d'intellectuels partageant les mêmes convictions.;"Du latin ""cenaculum"" (salle à manger à l'étage, lieu de la Cène).";Le cénacle romantique se réunissait chez Victor Hugo.;cercle, club, coterie, groupe
diatribe;4;Intermédiaire;Art & Langage;Critique ou pamphlet d'une violence verbale acérée à l'encontre de quelqu'un.;"Du grec ""diatribe"" (perte de temps, entretien philosophique).";L'éditorialiste se lança dans une diatribe féroce contre le nouveau gouvernement.;pamphlet, invective, philippique, critique
enlumineur;4;Intermédiaire;Art & Langage;Artiste du Moyen Âge qui décorait les manuscrits avec des dorures et des peintures colorées.;"Du latin ""illuminare"" (éclairer, embellir).";L'enlumineur travaillait des mois sur un seul psaume pour la Bible du roi.;miniaturiste, calligraphe, peintre
estocade;4;Intermédiaire;Art & Langage;Coup de grâce ou coup décisif qui met fin à un combat ou une dispute.;"De l'espagnol ""estocada"" (coup d'estoc, avec la pointe de l'épée).";Sa dernière question en cour fut l'estocade qui fit craquer l'accusé.;coup de grâce, défaite, coup décisif
harangue;4;Intermédiaire;Art & Langage;Discours solennel prononcé devant une assemblée pour convaincre ou gronder.;"De l'ancien haut-allemand ""hring"" (cercle de personnes).";Le général adressa une harangue vibrante à ses troupes avant la bataille.;discours, allocution, sermon, homélie
héraut;4;Intermédiaire;Art & Langage;Officier du Moyen Âge chargé des proclamations solennelles et des messages de paix.;"Du vieux francique ""heriald"" (chef d'armée).";Le héraut d'armes sonna de la trompette avant de lire le décret royal.;messager, précurseur, émissaire, annonciateur
invective;4;Intermédiaire;Art & Langage;Parole violente, amère et injurieuse proférée contre quelqu'un.;"Du latin ""invectiva"" (parole qui attaque).";Les deux rivaux échangèrent des invectives au milieu de la rue.;injure, insulte, diatribe, outrage
laudateur;4;Intermédiaire;Art & Langage;Qui prononce des louanges ou fait l'éloge admiratif de quelqu'un.;"Du latin ""laudator"" (celui qui loue).";L'écrivain fut encensé par un article laudateur dans la presse littéraire.;flatteur, élogieux, approbateur
liminaire;4;Intermédiaire;Art & Langage;Placé au seuil d'un ouvrage littéraire ou d'un discours en guise d'introduction.;"Du latin ""limen"" (seuil de porte).";L'auteur écrivit quelques remarques liminaires pour clarifier sa méthode.;préliminaire, introductif, préface
liturgie;4;Intermédiaire;Art & Langage;Déroulement rituel et codifié des cérémonies religieuses ou des fêtes officielles.;"Du grec ""leitourgia"" (service public accompli pour la cité).";Le couronnement impérial s'est déroulé selon une liturgie somptueuse.;cérémonial, rituel, culte
mignardise;4;Intermédiaire;Art & Langage;"Délicatesse excessive dans les manières ou les formes ; afféterie poétique.";"Dérivé du vieux français ""mignard"" (mignon, gracieux).";Il convient d'éviter la mignardise dans les poèmes tragiques.;délicatesse, afféterie, gentillesse
ménestrel;4;Intermédiaire;Art & Langage;Musicien, chanteur et poète du Moyen Âge qui voyageait de château en château.;"Du latin ""ministerialis"" (serviteur de cour).";Le ménestrel chanta les exploits du preux chevalier devant le seigneur.;troubadour, trouvère, poète
psalmodier;4;Intermédiaire;Art & Langage;Chanter ou réciter des psaumes ou des textes sacrés sur un ton monotone et rythmé.;"Du grec ""psalmos"" (psaume) et ""oide"" (chant).";Les moines commençaient à psalmodier les matines dans l'ombre de la chapelle.;chanter, réciter, chantonner, murmurer
rhapsodie;4;Intermédiaire;Art & Langage;Composition musicale ou littéraire d'inspiration libre et populaire.;"Du grec ""rhapsodia"" (chant épique cousu ensemble).";La rhapsodie hongroise de Liszt déchaîna les applaudissements du public.;complainte, mélodie, fantaisie
soliloque;4;Intermédiaire;Art & Langage;Monologue intérieur ou discours qu'une personne se tient à haute voix à elle-même.;"Du latin ""solus"" (seul) et ""loqui"" (parler).";Il se perdait souvent dans de longs soliloques en arpentant sa bibliothèque.;monologue, confidence, aparté
tintamarre;4;Intermédiaire;Art & Langage;Grand bruit discordant, désordonné et fatiguant.;"De la onomatopée ""tinter"" (bruit de cloche) et ""marre"" (bruit confus).";Le tintamarre de la fête foraine résonnait jusque dans nos chambres.;vacarme, fracas, bruit, brouhaha
troubadour;4;Intermédiaire;Art & Langage;Poète et musicien médiéval de langue d'oc chantant l'amour courtois.;"De l'ancien occitan ""trobador"" (celui qui trouve des mélodies, compositeur).";Le troubadour chanta une aubade sous le balcon de sa dame.;ménestrel, poète, trouvère
élucubration;4;Intermédiaire;Art & Langage;Réflexion extravagante, théorie sans fondement logique ou produit d'un esprit égaré.;"Du latin ""elucubrare"" (travailler à la lueur de la chandelle).";Ne m'ennuie pas avec tes élucubrations sur la fin du monde.;faribole, extravagante, idée folle, délire
atermoiement;4;Intermédiaire;Esprit & Caractère;Action de différer, de remettre à plus tard une décision ou une action.;"Du vieux français ""atermier"" (fixer un terme, un délai).";Ses atermoiements constants ont fini par faire échouer le projet.;procrastination, retardement, hésitation, tergiversation
auguste;4;Intermédiaire;Esprit & Caractère;Qui inspire le respect, la vénération ou une dignité solennelle.;"Du latin ""augustus"" (consacré par les augures, vénérable, majestueux).";Le vieillard entra d'un pas auguste dans la grande salle du conseil.;majestueux, solennel, vénérable, digne, noble
collusion;4;Intermédiaire;Esprit & Caractère;Entente secrète et frauduleuse entre des personnes pour nuire à un tiers.;"Du latin ""collusio"" (tromperie, jeu de connivence).";Les deux entreprises ont été condamnées pour collusion sur les prix.;complot, complicité, connivence, cabale
famélique;4;Intermédiaire;Esprit & Caractère;Qui est creusé par la faim, extrêmement maigre et miséreux.;"Du latin ""famellicus"" (affamé).";Un chien famélique rôdait autour de la cuisine dans l'espoir d'un os.;affamé, décharné, maigre, misérable
goguenard;4;Intermédiaire;Esprit & Caractère;Qui a l'habitude de se moquer d'autrui avec ironie ou persiflage.;"Du vieux français ""gogue"" (réjouissance).";Le cocher jeta un regard goguenard au voyageur pressé qui avait manqué son train.;moqueur, railleur, narquois, gouailleur
ignominie;4;Intermédiaire;Esprit & Caractère;Déshonneur ou honte extrême résultant d'une faute vile ou indigne.;"Du latin ""ignominia"" (perte du nom, infamie).";Ce tyran a commis les pires ignominies contre son peuple.;infamie, déshonneur, honte, bassesse
incurie;4;Intermédiaire;Esprit & Caractère;Négligence extrême, manque total de soins et d'attention dans une gestion.;"Du latin ""incuria"" (absence de souci, de soin).";L'état déplorable de ce musée historique est le fruit de l'incurie municipale.;négligence, laisser-aller, insouciance, abandon
intransigeance;4;Intermédiaire;Esprit & Caractère;Refus rigide de tout compromis ou concession sur ses principes.;"Du latin ""intransigens"" (qui ne transige pas).";Son intransigeance dans les négociations a failli mener à une rupture.;rigidité, inflexibilité, sévérité
obséquieux;4;Intermédiaire;Esprit & Caractère;Qui manifeste un excès d'égards et de politesse hypocrite par pure flatterie ou soumission.;"Du latin ""obsequiosus"" (soumis, complaisant).";Le majordome obséquieux s'inclinait bien bas devant chaque convive.;flatteur, servile, rampant, hypocrite
ombrageux;4;Intermédiaire;Esprit & Caractère;Se dit d'un tempérament méfiant, susceptible et prompt à s'inquiéter ou s'offusquer.;"Du latin ""umbraticus"" (qui reste dans l'ombre).";Le vieux poète était ombrageux et supportait mal la moindre remarque.;susceptible, méfiant, farouche, sourcilleux
opiniâtre;4;Intermédiaire;Esprit & Caractère;Qui fait preuve d'une ténacité obstinée et indomptable dans ses entreprises.;"Du latin ""opinari"" (avoir une opinion, s'obstiner).";Il mena des recherches opiniâtres pour retrouver la trace de sa famille.;obstiné, tenace, persévérant, entêté
paladin;4;Intermédiaire;Esprit & Caractère;Chevalier errant protecteur de la justice et de l'honneur des opprimés.;"Du latin ""palatinus"" (officier du palais impérial).";Il se dressa en vaillant paladin pour défendre la cause de la veuve.;chevalier, champion, preux, défenseur
parjure;4;Intermédiaire;Esprit & Caractère;"Violation d'un serment solennel ; au figuré, trahison ou personne coupable de parjure.";"Du latin ""periurium"" (action de jurer faussement).";L'accusé fut condamné pour parjure après avoir menti sous serment devant le juge.;trahison, reniement, mensonge
patricien;4;Intermédiaire;Esprit & Caractère;"Noble appartenant aux familles patriciennes de la Rome antique ; au figuré, aristocrate raffiné.";"Du latin ""patricius"" (descendant des pères fondateurs de Rome).";Ses manières de patricien le distinguaient de la foule vulgaire.;noble, aristocrate, seigneur, noble
pernicieux;4;Intermédiaire;Esprit & Caractère;Qui cause un préjudice moral ou physique subtil mais extrêmement dangereux.;"Du latin ""perniciosus"" (destructeur, ruineux).";Ces lectures faciles exercent une influence pernicieuse sur les jeunes esprits.;nocif, toxique, dangereux, néfaste
plébéien;4;Intermédiaire;Esprit & Caractère;Qui appartient à la plèbe, au peuple (par opposition aux patriciens ou nobles).;"Du latin ""plebeius"" (du peuple).";Il préférait la table plébéienne des tavernes aux dîners mondains.;populaire, roturier, vulgaire, commun
potentat;4;Intermédiaire;Esprit & Caractère;Souverain absolu disposant d'un grand pouvoir autocratique sans limites réelles.;"Du latin ""potentatus"" (puissance, commandement).";Ce potentat local gouvernait sa province d'une main de fer.;tyran, despote, dictateur, monarque
preux;4;Intermédiaire;Esprit & Caractère;Qui fait preuve d'une vaillance et d'une loyauté chevaleresque exemplaires.;"Du gallo-roman ""prode"" (utile, preux, vaillant).";Le preux chevalier affronta le dragon pour délivrer les captifs.;vaillant, courageux, brave, chevaleresque
prodigalité;4;Intermédiaire;Esprit & Caractère;Tendance à dépenser ou à donner avec excès et sans mesure par pur plaisir.;"Du latin ""prodigalitas"" (dilapidation, prodigalité).";Ses prodigalités excessives ont fini par ruiner sa famille en quelques années.;dilapidation, prodigalité, gaspillage, libéralité
précepteur;4;Intermédiaire;Esprit & Caractère;Enseignant particulier chargé d'éduquer et d'instruire un enfant à domicile.;"Du latin ""praeceptor"" (maître, celui qui conseille).";Le précepteur lui faisait lire les philosophes classiques dès l'âge de dix ans.;tuteur, éducateur, mentor, maître
préséance;4;Intermédiaire;Esprit & Caractère;Droit d'occuper la place la plus honorable lors de cérémonies ou de réunions protocolaires.;"Du latin ""praecedere"" (marcher devant).";La question de la préséance à la table royale provoqua des disputes entre ambassadeurs.;priorité, prééminence, préséance
pugnace;4;Intermédiaire;Esprit & Caractère;Qui manifeste un goût pour le combat, l'affrontement intellectuel ou la lutte tenace.;"Du latin ""pugnax"" (combattif, enclin à se battre).";Le journaliste s'est montré particulièrement pugnace lors de l'entretien télévisé.;combattif, agressif, querelleur, belliqueux
renégat;4;Intermédiaire;Esprit & Caractère;Personne qui a renié sa religion, ses croyances ou sa patrie pour rejoindre le camp adverse.;"Du latin médiéval ""renegatus"" (celui qui a renié sa foi).";Il fut considéré comme un renégat par ses anciens compagnons d'armes.;apostat, traître, parjure, transfuge
sardonique;4;Intermédiaire;Esprit & Caractère;Se dit d'un rire ou d'un regard moqueur, grinçant, amer et teinté de mépris.;"Du grec ""sardanios"" (rire convulsif causé par l'absorption d'une herbe de Sardaigne).";Un sourire sardonique passa sur ses lèvres lorsqu'il vit son rival échouer.;sarcastique, cynique, ricanant, acerbe
simagrée;4;Intermédiaire;Esprit & Caractère;Manière ou geste affecté et théâtral destiné à attirer l'attention ou la pitié.;"Origine incertaine, peut-être de ""singe"" et ""grimace"".";Trêve de simagrées, dis-moi ce que tu veux vraiment.;grimace, affectation, chichi, comédie
suzerain;4;Intermédiaire;Esprit & Caractère;Seigneur féodal du Moyen Âge qui accordait un fief à un vassal en échange de sa fidélité.;"Du vieux français ""sus"" (en haut) influencé par souverain.";Le vassal jura fidélité à son suzerain au cours d'une cérémonie solennelle.;seigneur, maître, souverain
vergogne;4;Intermédiaire;Esprit & Caractère;"Honte ou scrupule moral (principalement employé de nos jours dans ""sans vergogne"").";"Du latin ""verecundia"" (pudeur, respect).";Ce profiteur réclamait de l'argent sans vergogne à ses proches.;honte, pudeur, scrupule
vilipender;4;Intermédiaire;Esprit & Caractère;Dénoncer publiquement quelqu'un avec mépris et le traîner dans la boue.;"Du latin ""vilipendere"" (estimer à vil prix).";Il fut vilipendé par ses détracteurs après son échec électoral.;mépriser, dénigrer, bafouer, accuser
luminescence;4;Intermédiaire;Lumière & Ombres;Émission de lumière qui ne provient pas d'une source de chaleur (lumière froide).;"Du latin ""lumen"" (lumière) avec suffixe scientifique.";La luminescence des lucioles illuminait la clairière de points verts.;lueur, phosphorescence, éclat
phosphorescence;4;Intermédiaire;Lumière & Ombres;Phénomène physique où un corps continue de briller doucement dans l'obscurité après exposition à la lumière.;"Du grec ""phosphoros"" (qui apporte la lumière).";La phosphorescence de la mer tropicale de nuit était féerique.;luminescence, lueur, éclat
héliotrope;4;Intermédiaire;Nature & Cosmos;Plante ou fleur dont la corolle s'oriente naturellement vers la direction du soleil.;"Du grec ""helios"" (soleil) et ""tropos"" (tourner).";Le parfum suave de l'héliotrope embaumait la terrasse de son arôme de vanille.;tournesol, plante
sidéral;4;Intermédiaire;Nature & Cosmos;Qui concerne les étoiles, les constellations ou l'espace cosmique infini.;"Du latin ""sideralis"" (relatif aux astres).";La nuit noire révélait un spectacle sidéral d'une beauté vertigineuse.;cosmique, astral, céleste
éolien;4;Intermédiaire;Nature & Cosmos;Qui a rapport au vent, qui est produit ou transporté par l'action du vent.;De Éole, dieu grec des vents.;Le chant éolien de la harpe résonnait doucement sous la brise nocturne.;aérien, venteux
abscons;4;Intermédiaire;Philosophie & Idées;Difficile à comprendre en raison de sa complexité ou de son obscurité volontaire.;"Du latin ""absconditus"" (caché, dissimulé).";Son discours philosophique était si abscons que la moitié de l'auditoire s'est assoupie.;obscur, hermétique, sibyllin, impénétrable
anathème;4;Intermédiaire;Philosophie & Idées;Sentence de condamnation solennelle, d'excommunication ou de réprobation publique.;"Du grec ""anathema"" (offrande suspendue au temple, puis chose vouée au mal).";Jeter l'anathème sur un opposant politique est une pratique courante.;condamnation, excommunication, blâme, réprobation
apostasie;4;Intermédiaire;Philosophie & Idées;Renonciation publique et solennelle à une religion, une doctrine ou un parti politique auquel on appartenait.;"Du grec ""apostasis"" (action de se tenir à l'écart, défection).";Son apostasie a suscité la colère et l'incompréhension de sa communauté d'origine.;abjuration, reniement, défection, trahison
contingence;4;Intermédiaire;Philosophie & Idées;Événement imprévisible qui peut se produire ou non selon le hasard des circonstances.;"Du latin ""contingere"" (arriver par hasard, toucher).";Les dirigeants doivent s'adapter aux contingences économiques.;aléa, hasard, circonstance, imprévu
cryptique;4;Intermédiaire;Philosophie & Idées;Dont le sens ou le dessein est caché, mystérieux ou difficile à décoder.;"Du grec ""kruptos"" (caché).";Il lui laissa un message cryptique contenant un mystérieux rendez-vous.;énigmatique, mystérieux, hermétique, codé
